node1,node2,simRate,merge
one infection event,the probability of all paths,0.613579174,
different rates,alternative forms for the process,0.613508875,
downward drift on the transmission rate,a flow diagram,0.613415971,
the simplest models,the number of recovery events,0.613388521,
the effective contact rates,rate immunity,0.613260221,
different rates,rate immunity,0.613056725,
the states,an clear [ wiki  Newick_format ) of this grammar,0.613026173,
the effective contact rates,an exposed infectious class,0.612974146,
which,a stochastic process for the transmission rate,0.61291618,
This model,One way,0.612912913,
birth of in this model,downward drift on the transmission rate,0.612886993,
different rates,the probability of all paths,0.61286921,
one of the simplest models,one infection event,0.612863367,
all elements of C,which,0.612852862,
outflow of each patch,forecasting of in,0.612826958,
which,one infection event,0.612564107,
state variables with a system of,proportions of ,0.61239276,
a stochastic process for these parameters,the state,0.612328559,
This code,One way,0.612250224,
a special case of a general model,the coalescent,0.612206688,
These features,One way,0.612152514,
time,another language  things,0.612081837,
the method,one,0.611887907,
the network model of ,These features,0.611825609,
downward drift on the transmission rate,part of the state of the art,0.6117518,
this,interest in the total number of people,0.611667404,
the number of parasites per host,a capita rate beta I,0.611353114,
one infection event,a way,0.611308426,
rate case fatality ratio ( proportion rate (,the number of infection events,0.611232131,
the final sizeof,a record of the number of infection,0.61102587,
the final sizeof,part of the state of the art,0.610960679,
This section,interest in the total number of people,0.610958317,
one infection event,numerous extensions to the coalescent,0.610915431,
the elements on ,there,0.610843125,
the elements on ,There,0.610843125,
The susceptible model,The following,0.610745624,
a capita rate beta I,I,0.610619545,
this process,the states,0.610598811,
Beta rate of rate,state variables with a system of,0.610505834,
the form S,an exposed infectious class,0.610340881,
a capita rate Gamma,state variables with a system of,0.61033781,
the minimum value of the transmission rate Beta,additional mortality,0.61032899,
the number of parasites per host,a way,0.610254138,
time,part of the state of the art,0.610223116,
each time step,a simple SIR model,0.610198603,
which,this process,0.610160167,
SIRS ( susceptible ) infection dynamics in a infinite population of households,which,0.610067115,
the method,an example (,0.610029687,
parameters as transmission rates,the state of our model,0.609910044,
part of the state of the art,an example (,0.609746023,
the rate of transmission between individuals in the population,time,0.609681704,
the elements on ,these parameters,0.609628294,
SIRS ( susceptible ) infection dynamics in a infinite population of households,One way,0.609621329,
one of the simplest models,different rates,0.609494089,
an endemic equilibrium,an exposed infectious class,0.609453002,
a stochastic model of genealogies,an clear [ wiki  Newick_format ) of this grammar,0.609450804,
a special case of a general model,efficient methods for,0.60944341,
a stochastic process for the transmission rate,an example (,0.609430724,
a stochastic process for the transmission rate,one infection event,0.609360808,
some assumptions,the coalescent,0.609275631,
time,the probability of all paths,0.609235306,
interest in the total number of people,some assumptions,0.609181141,
efficient methods for,the probability of all paths,0.609149686,
many SEIR models,large numbers of,0.609018403,
a special case of a general model,downward drift on the transmission rate,0.608930861,
the form S,a recovery event,0.608839072,
that model times,the efficacy of interventions,0.608720032,
an endemic equilibrium,a constant total population size ,0.608637542,
different rates,that model times,0.608621986,
Cross - coupling between patches,deterministic  time analogues of  model passage times,0.60861517,
( ie inverse of mean incubation period,part of the state of the art,0.608600799,
several features : age,part of the state of the art,0.608562918,
a stochastic process for these parameters,a language,0.608533976,
each time step,this,0.608393675,
the effective contact rates,a way,0.608306323,
birth of in this model,this code,0.608093123,
deterministic  time analogues of  model passage times,parametric models,0.608073856,
This section,each time step,0.607927521,
One way,I R We,0.607914972,
a stochastic process for the transmission rate,the coalescent,0.60791466,
The models,The probabilities,0.607876587,
This section,alternative forms for the process,0.607864171,
downward drift on the transmission rate,numerous extensions to the coalescent,0.607831799,
all elements of C,forecasting of in,0.607779743,
The models,the method,0.607739976,
each time step,the efficacy of interventions,0.607729195,
a recovery event,the state,0.607678277,
one of the simplest models,SEIRD model ,0.607570743,
the SIR model,one,0.607483559,
the final sizeof,the state,0.607475106,
The probabilities,The Kingman coalescent,0.60728582,
the number of parasites per host,several features : age,0.607203472,
the number of parasites per host,a recovery event,0.606993898,
alternative forms for the process,a simple SIR model,0.606966776,
a Binomial distribution with k,the number of recovery events,0.606907287,
( https:doiorg  ),( Z _ Z _ ),0.606886861,
SEIRD model ,birth of in this model,0.606867843,
SIRS ( susceptible ) infection dynamics in a infinite population of households,Individuals,0.606835908,
individuals,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.606835908,
a special case of a general model,( ie inverse of mean incubation period,0.60681235,
the significant assumptions,a way,0.606731492,
the flow from patch,a constant total population size ,0.606640647,
the method of ( Cox ),The following,0.606523332,
The model,One way,0.60645487,
j flow from patch,downward drift on the transmission rate,0.606412206,
models,the SIR model,0.606404337,
The susceptible ( SIS ) model,the SIR model,0.606368068,
deterministic  time analogues of  model passage times,a model,0.60633723,
that model times,the form S,0.606317058,
the form S,the SIR model,0.606270945,
outflow of each patch,a way,0.606086634,
these parameters,The implementation in this section,0.606082676,
The model in a closed population,these models,0.606014074,
The model in a closed population,These models,0.606014074,
These features,the established ways,0.605996856,
the form S,a stochastic model of genealogies,0.605961612,
two metapopulation SEIR models,a simple SIR model,0.605937755,
the states,the coalescent,0.605912779,
a constant total population size ,forecasting of in,0.60590441,
several features : age,numerous extensions to the coalescent,0.605674588,
j flow from patch,the probability of all paths,0.605674093,
This section,the form S,0.605659964,
This section,all elements of C,0.605542628,
this process,a simple SIR model,0.605352785,
rate immunity,the rate of transmission between individuals in the population,0.60523331,
birth of in this model,an example (,0.60516453,
the elements on ,all paths,0.605067631,
several features : age,an clear [ wiki  Newick_format ) of this grammar,0.605049285,
alternative forms for the process,the coalescent,0.604960345,
many SEIR models,some assumptions,0.604919828,
these parameters,The susceptible model,0.604897948,
the method,the dynamics of the Ebola virus,0.604874597,
This section,the flow from patch,0.604831361,
the SIR model,a way,0.604787656,
the number of infection events,a way,0.604645196,
individuals,the established ways,0.604444222,
Individuals,the established ways,0.604444222,
parameters as transmission rates,additional mortality,0.604234428,
This code,the state of our model,0.604165775,
efficient methods for,the state of our model,0.603936058,
all elements of C,a constant total population size ,0.603708279,
efficient methods for,numerous extensions to the coalescent,0.603661611,
Cross - coupling between patches,the minimum value of the transmission rate Beta,0.603648139,
an endemic equilibrium,state variables with a system of,0.603616428,
time,a stochastic process for these parameters,0.603468026,
that model times,some assumptions,0.603430064,
an endemic equilibrium,the number of susceptible individuals,0.603390033,
a stochastic process for these parameters,the SIR model,0.60327763,
deterministic  time analogues of  model passage times,a way,0.603253691,
a constant total population size ,the efficacy of interventions,0.60323191,
large numbers of,a way,0.603214381,
the method,The details,0.603154695,
a capita rate Gamma,interest in the total number of people,0.603069801,
the SIR model,the probability of all paths,0.603017222,
the form S,a simple SIR model,0.602978973,
The implementation in this section,efficient methods for,0.602918758,
time,state variables with a system of,0.602870201,
I R We,it,0.602853605,
deterministic  time analogues of  model passage times,all paths,0.602845274,
several features : age,other models,0.602615716,
j flow from patch,state variables with a system of,0.602570139,
who,one,0.602530644,
these parameters,the established ways,0.602368336,
outflow of each patch,that model times,0.60233354,
the minimum value of the transmission rate Beta,the SIR model,0.602316614,
a capita rate beta I,a way,0.602249449,
The Newick format,the established ways,0.602167708,
( ie inverse of mean incubation period,the efficacy of interventions,0.602164424,
different rates,a record of the number of infection,0.602077823,
There,These features,0.602055427,
These features,there,0.602055427,
One way,The probabilities,0.602027392,
The models,The details,0.602008279,
the effective contact rates,a constant total population size ,0.601811972,
deterministic  time analogues of  model passage times,The following,0.601753989,
the number of susceptible individuals,efficient methods for,0.601752306,
outflow of each patch,proportions of ,0.601683526,
This section,which,0.601411178,
birth of in this model,a language,0.601352928,
large numbers of,an clear [ wiki  Newick_format ) of this grammar,0.601280093,
the number of susceptible individuals,an example (,0.601192523,
several features : age,the probability of all paths,0.601185331,
efficient methods for,a stochastic model of genealogies,0.601137302,
the rate of transmission between individuals in the population,efficient methods for,0.601083239,
This model,it,0.601057843,
one infection event,part of the state of the art,0.601040084,
a capita rate beta I,the effective contact rates,0.600976396,
one of the simplest models,an example (,0.600920928,
downward drift on the transmission rate,large numbers of,0.600859101,
compartmental models,a model,0.600826222,
The susceptible ( SIS ) model,the minimum value of the transmission rate Beta,0.600783902,
This code,The following,0.600768036,
SIRS ( susceptible ) infection dynamics in a infinite population of households,a way,0.600758396,
( chapters sir  intro ),an example (,0.600652569,
the SIR model,The probabilities,0.600592069,
the SIR model,The implementation in this section,0.600570513,
This section,another language  things,0.600515706,
all elements of C,that model times,0.600501486,
the number of recovery events,all paths,0.600494151,
these parameters,The probabilities,0.600447076,
these parameters,the state of our model,0.600326116,
the number of susceptible individuals,a recovery event,0.600201482,
outflow of each patch,this process,0.600126139,
The details,a way,0.600024115,
that model times,one infection event,0.599882612,
The model in a closed population,rate case fatality ratio ( proportion rate (,0.599857148,
this,one infection event,0.599854402,
state variables with a system of,the SIR model,0.599712907,
[ epicookbook chapters  intro ) ),( Z _ Z _ ),0.599677132,
different rates,several features : age,0.599529879,
the system,it,0.599453816,
the final sizeof,the probability of all paths,0.599090856,
a simple SIR model,a record of the number of infection,0.599065656,
part of the state of the art,the coalescent,0.599019557,
that model times,this,0.599008879,
This code,the minimum value of the transmission rate Beta,0.598928827,
a capita rate beta I,that model times,0.598928421,
which,the significant assumptions,0.598720869,
outflow of each patch,Beta rate of rate,0.598709043,
a capita rate Gamma,( ie inverse of mean incubation period,0.598694821,
the number of infection events,The Newick format,0.598691969,
all elements on the row,We,0.598607174,
we,all elements on the row,0.598607174,
a stochastic process for the transmission rate,this code,0.598583248,
different rates,birth of in this model,0.598498817,
These features,which,0.598496781,
state variables with a system of,some assumptions,0.598442991,
time,a recovery event,0.598427434,
Beta rate of rate,the number of susceptible individuals,0.598375702,
migration between patches,the probability of all paths,0.598325635,
an exposed infectious class,another language  things,0.598268703,
These features,The implementation in this section,0.598176233,
additional mortality,the significant assumptions,0.598101276,
SEIRD model ,the state of our model,0.598011853,
model,the state of our model,0.598011853,
which,large numbers of,0.59797538,
These models,the significant assumptions,0.597734262,
these models,the significant assumptions,0.597734262,
SIRS ( susceptible ) infection dynamics in a infinite population of households,one,0.597617301,
one of the simplest models,this,0.597603643,
the process,the SIR model,0.597513342,
[ epicookbook chapters  intro ) ),an example (,0.597359883,
many SEIR models,different rates,0.597340004,
one of the simplest models,a flow diagram,0.597037043,
an example (,a language,0.597016189,
The susceptible ( SIS ) model,the simplest models,0.596961477,
rate immunity,a stochastic process for the transmission rate,0.596921701,
deterministic  time analogues of  model passage times,it,0.596714964,
rate case fatality ratio ( proportion rate (,deterministic  time analogues of  model passage times,0.596638256,
the flow from patch,this code,0.596611102,
( ie inverse of mean incubation period,proportions of ,0.596577001,
other models,the probability of all paths,0.596455506,
These features,one,0.596424558,
This section,the probability of all paths,0.596410029,
a way,this code,0.596341366,
This code,a way,0.596341366,
model,The model in a closed population,0.596336042,
The model in a closed population,SEIRD model ,0.596336042,
the number of parasites per host,proportions of ,0.596164764,
all elements on the row,you,0.59614507,
a Binomial distribution with k,the number of infection events,0.596074921,
The models,the number of infection events,0.596013424,
rate immunity,downward drift on the transmission rate,0.595880111,
two metapopulation SEIR models,numerous extensions to the coalescent,0.595783434,
these parameters,The models,0.595719527,
a model,a record of the number of infection,0.595710764,
a model,one,0.595577882,
downward drift on the transmission rate,the state,0.595466822,
between patch contact,a record of the number of infection,0.595434065,
the minimum value of the transmission rate Beta,there,0.595433494,
There,the minimum value of the transmission rate Beta,0.595433494,
This section,one of the simplest models,0.595311656,
each time step,a stochastic model of genealogies,0.595235279,
a capita rate Gamma,the effective contact rates,0.595233179,
a special case of a general model,time,0.595169664,
the rate of transmission between individuals in the population,data structures,0.595156255,
the simplest models,the number of infection events,0.595119097,
The model in a closed population,The Newick format,0.594989917,
the minimum value of the transmission rate Beta,it,0.594973735,
migration between patches,numerous extensions to the coalescent,0.594857245,
the SIR model,an clear [ wiki  Newick_format ) of this grammar,0.594833817,
many SEIR models,a simple SIR model,0.594771407,
Sigma rate of breakdown,state variables with a system of,0.594683207,
a Binomial distribution with k,the model of,0.594602596,
the SIR model,the system,0.594586285,
between patch contact,alternative forms for the process,0.594436135,
one of the simplest models,a language,0.59440687,
j flow from patch,a stochastic process for the transmission rate,0.594385664,
the efficacy of interventions,one infection event,0.594363824,
alternative forms for the process,other models,0.594322382,
all elements on the row,The susceptible model,0.594299679,
all elements of C,an exposed infectious class,0.594261397,
several features : age,a stochastic model of genealogies,0.594195453,
a stochastic process for these parameters,an exposed infectious class,0.59416064,
the effective contact rates,Sigma rate of breakdown,0.594142422,
many SEIR models,there,0.593923333,
many SEIR models,There,0.593923333,
there,The following,0.593733955,
There,The following,0.593733955,
efficient methods for,data structures,0.593713377,
different rates,numerous extensions to the coalescent,0.593647288,
which,the method,0.593601722,
the effect of,the SIR model,0.593486509,
a Binomial distribution with k,the significant assumptions,0.593469168,
downward drift on the transmission rate,a stochastic model of genealogies,0.593441986,
The model,the number of infection events,0.593277954,
a model,a recovery event,0.593197827,
birth of in this model,the coalescent,0.593189033,
the number of parasites per host,an example (,0.593171696,
a Binomial distribution with k,The implementation in this section,0.592951548,
these parameters,the process,0.592939561,
the flow from patch,which,0.59292598,
many SEIR models,the probability of all paths,0.592842697,
which,the efficacy of interventions,0.592664931,
forecasting of in,numerous extensions to the coalescent,0.592587666,
the efficacy of interventions,a recovery event,0.592520459,
a capita rate beta I,a special case of a general model,0.592515221,
alternative forms for the process,a flow diagram,0.592393391,
the model of,parametric models,0.592336826,
The susceptible ( SIS ) model,Model description,0.591913881,
two metapopulation SEIR models,large numbers of,0.591847562,
The susceptible ( SIS ) model,the number of infection events,0.591671609,
This section,the states,0.591668313,
rate case fatality ratio ( proportion rate (,the number of recovery events,0.591502555,
a Binomial distribution with k,the method,0.591485682,
the elements on ,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.591400163,
parameters as transmission rates,The implementation in this section,0.591354786,
many SEIR models,the significant assumptions,0.591345676,
state variables with a system of,the final sizeof,0.591261161,
interest in the total number of people,a language,0.591213775,
downward drift on the transmission rate,a way,0.591206129,
the probability of all paths,the Kingman coalescent,0.591058114,
The details,one,0.591053719,
the simplest models,The details,0.590980156,
The model,the dynamics of the Ebola virus,0.590973673,
different rates,other models,0.590957216,
infected individuals,the dynamics of the Ebola virus,0.590937843,
several features : age,an exposed infectious class,0.590889849,
large numbers of,other models,0.590815777,
The model,The Newick format,0.590798741,
a capita rate beta I,the flow from patch,0.590575197,
Sigma rate of breakdown,the probability of all paths,0.590408303,
the number of parasites per host,a capita rate Gamma,0.590330211,
This section,a stochastic process for these parameters,0.590318425,
Susceptible individuals,the number of infection events,0.590318004,
all elements on the row,the dynamics of the Ebola virus,0.590256101,
the rate of transmission between individuals in the population,other models,0.590227563,
a Binomial distribution with k,all elements on the row,0.590035092,
all elements of C,several features : age,0.590018123,
the simplest models,The Newick format,0.589838699,
the states,a stochastic model of genealogies,0.589821627,
the flow from patch,( ie inverse of mean incubation period,0.589716072,
We,the significant assumptions,0.589714341,
we,the significant assumptions,0.589714341,
one,the significant assumptions,0.589579318,
a record of the number of infection,this code,0.589415085,
This code,The details,0.589369576,
One way,a model,0.589141606,
rate case fatality ratio ( proportion rate (,The probabilities,0.589137221,
The following,an example (,0.589006765,
the number of parasites per host,a stochastic model of genealogies,0.588879587,
One way,The Newick format,0.5888543,
each time step,which,0.588707336,
the model of,parameters as transmission rates,0.588705135,
birth of in this model,Beta rate of rate,0.588638797,
the flow from patch,Beta rate of rate,0.588588502,
a simple SIR model,this code,0.58858773,
This code,the method,0.588580127,
two metapopulation SEIR models,state variables with a system of,0.588453739,
an exposed infectious class,the states,0.588369922,
state variables with a system of,a grammar,0.588308765,
These features,all paths,0.588301276,
This section,the state,0.588297869,
the network model of ,efficient methods for,0.588252098,
all elements of C,data structures,0.588143794,
Element C_ij,all elements on the row,0.587964798,
a capita rate Gamma,a record of the number of infection,0.587948761,
Sigma rate of breakdown,( ie inverse of mean incubation period,0.587505478,
these parameters,The following,0.587383892,
the network model of ,these parameters,0.587375227,
a constant total population size ,a model,0.587334706,
a Binomial distribution with k,Equations Cross - coupling,0.587317035,
This section,outflow of each patch,0.587232742,
infected individuals,I_d infectious,0.587136674,
a constant total population size ,the state,0.58696403,
between patch contact,state variables with a system of,0.586962341,
a model,The implementation in this section,0.586883986,
( https:doiorg  ),an clear [ wiki  Newick_format ) of this grammar,0.586778669,
one of the simplest models,time,0.586770064,
the method of ( Cox ),One way,0.58668446,
the simplest models,a way,0.586584253,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the system,0.586549008,
a stochastic model of genealogies,another language  things,0.586521866,
an endemic equilibrium,a stochastic model of genealogies,0.586446291,
a special case of a general model,proportions of ,0.586391351,
we,The model in a closed population,0.586188848,
The model in a closed population,We,0.586188848,
one,The probabilities,0.586048921,
the effective contact rates,outflow of each patch,0.585942898,
the flow from patch,that model times,0.585901947,
that model times,a recovery event,0.585897409,
an exposed infectious class,a way,0.585884187,
The probabilities,a way,0.585837554,
many SEIR models,interest in the total number of people,0.585825946,
it,the significant assumptions,0.585702126,
each time step,this code,0.585688597,
infected individuals,a record of the number of infection,0.585613061,
Cross - coupling between patches,The model in a closed population,0.585438761,
deterministic  time analogues of  model passage times,We,0.585402012,
we,deterministic  time analogues of  model passage times,0.585402012,
the state of our model,an example (,0.585399326,
These features,the effect of,0.585392926,
the number of parasites per host,another language  things,0.585385814,
one of the simplest models,a recovery event,0.58537464,
This section,a stochastic process for the transmission rate,0.585351189,
the state of our model,all paths,0.585324783,
One way,The susceptible model,0.585296716,
the SIR model,The following,0.585238255,
there,the SIR model,0.585154235,
There,the SIR model,0.585154235,
this process,a stochastic model of genealogies,0.585117479,
the SIR model,it,0.585045838,
time,alternative forms for the process,0.585030745,
Cross - coupling between patches,the number of infection events,0.584877438,
the flow from patch,forecasting of in,0.584871139,
the effective contact rates,an clear [ wiki  Newick_format ) of this grammar,0.584825707,
The susceptible ( SIS ) model,many SEIR models,0.58479301,
The details,you,0.584751168,
that model times,the state,0.584724757,
the probability of all paths,data structures,0.584701184,
the number of parasites per host,an endemic equilibrium,0.584571876,
interest in the total number of people,the final sizeof,0.584531215,
large numbers of,data structures,0.584459066,
the effective contact rates,( ie inverse of mean incubation period,0.584425228,
the effect of,an example (,0.584372768,
the form S,one infection event,0.584319821,
The susceptible model,a way,0.584257349,
We,all paths,0.584055823,
we,all paths,0.584055823,
efficient methods for,the number of recovery events,0.584006145,
interest in the total number of people,other models,0.583940474,
parameters as transmission rates,the process,0.583881531,
that model times,forecasting of in,0.583754597,
Sigma rate of breakdown,the number of susceptible individuals,0.583593463,
a record of the number of infection,a flow diagram,0.583504953,
the model of,there,0.583477307,
the model of,There,0.583477307,
these parameters,the effect of,0.583315514,
the number of parasites per host,this process,0.583269501,
a capita rate beta I,birth of in this model,0.583045102,
this,state variables with a system of,0.583039791,
they,the state of our model,0.583039661,
a capita rate beta I,j flow from patch,0.58296663,
Cross - coupling between patches,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.582946191,
alternative forms for the process,this code,0.582810423,
the SIR model,The details,0.582806558,
parameters as transmission rates,the effect of,0.582769964,
we,the number of recovery events,0.582695282,
We,the number of recovery events,0.582695282,
Beta rate of rate,forecasting of in,0.582573928,
Beta rate of rate,the probability of all paths,0.582540444,
This model,one,0.582470487,
a simple SIR model,other models,0.582452547,
state variables with a system of,other models,0.582426755,
I R We,the SIR model,0.582423439,
this,alternative forms for the process,0.582319979,
Equations Cross - coupling,parametric models,0.582304663,
a special case of a general model,SEIRD model ,0.582259481,
all elements on the row,the SIR model,0.582147648,
a capita rate beta I,outflow of each patch,0.582087206,
alternative forms for the process,data structures,0.582066488,
This model,These features,0.582015122,
the SIR model,a record of the number of infection,0.581934495,
several features : age,another language  things,0.581922762,
the established ways,you,0.581855121,
all elements of C,this process,0.581789325,
a constant total population size ,a recovery event,0.581715652,
There,the network model of ,0.581623128,
the network model of ,there,0.581623128,
a recovery event,the probability of all paths,0.58157003,
forecasting of in,downward drift on the transmission rate,0.581506975,
Beta rate of rate,large numbers of,0.58123563,
a simple SIR model,a recovery event,0.58116971,
a constant total population size ,different rates,0.581046294,
many SEIR models,the established ways,0.580825862,
Sigma rate of breakdown,proportions of ,0.580808827,
alternative forms for the process,some assumptions,0.58079795,
that model times,an example (,0.580735575,
an exposed infectious class,the state,0.580301137,
this code,a language,0.580258758,
one infection event,another language  things,0.580171577,
numerous extensions to the coalescent,data structures,0.580124769,
other models,some assumptions,0.579938429,
Cross - coupling between patches,The implementation in this section,0.579761774,
two metapopulation SEIR models,a stochastic process for the transmission rate,0.579663832,
This model,the minimum value of the transmission rate Beta,0.579663088,
a stochastic model of genealogies,a grammar,0.579658472,
Sigma rate of breakdown,forecasting of in,0.579619304,
the established ways,an example (,0.579596509,
the simplest models,one,0.579575243,
the efficacy of interventions,a way,0.579511121,
SIRS ( susceptible ) infection dynamics in a infinite population of households,these parameters,0.579439334,
all elements of C,a way,0.579437194,
between patch contact,the probability of all paths,0.579222422,
a capita rate beta I,rate immunity,0.579137716,
The susceptible ( SIS ) model,the established ways,0.579042358,
the rate of transmission between individuals in the population,the SIR model,0.57897903,
the effective contact rates,forecasting of in,0.57881234,
this,a recovery event,0.578733209,
the simplest models,the dynamics of the Ebola virus,0.578725669,
different rates,( ie inverse of mean incubation period,0.578678102,
Individuals,the number of infection events,0.578621209,
individuals,the number of infection events,0.578621209,
The model,one,0.578593511,
the model of,an example (,0.57851995,
large numbers of,another language  things,0.578514683,
which,( ie inverse of mean incubation period,0.57845874,
the state,the coalescent,0.578418365,
the rate of transmission between individuals in the population,a language,0.578003633,
between patch contact,each time step,0.577899183,
the SIR model,the method,0.577870868,
Beta rate of rate,the efficacy of interventions,0.577810153,
each time step,the SIR model,0.577798563,
The model in a closed population,they,0.577773589,
a Binomial distribution with k,the system,0.577737179,
Cross - coupling between patches,the number of recovery events,0.577626853,
( ie inverse of mean incubation period,numerous extensions to the coalescent,0.577611125,
this,a simple SIR model,0.577565026,
The Newick format,a way,0.577480913,
the state of our model,you,0.577362157,
deaths,additional mortality,0.577238735,
additional mortality,the number of recovery events,0.577219034,
which,a stochastic process for these parameters,0.577177917,
a constant total population size ,an exposed infectious class,0.576906924,
the number of susceptible individuals,data structures,0.576898782,
The susceptible ( SIS ) model,One way,0.576867547,
an endemic equilibrium,alternative forms for the process,0.576832233,
a stochastic process for the transmission rate,the final sizeof,0.576798735,
several features : age,alternative forms for the process,0.576757559,
The susceptible ( SIS ) model,These models,0.576736646,
The susceptible ( SIS ) model,these models,0.576736646,
a stochastic process for the transmission rate,other models,0.576305307,
this,the form S,0.576277267,
Cross - coupling between patches,the effect of,0.576149477,
one infection event,an clear [ wiki  Newick_format ) of this grammar,0.576112269,
the simplest models,parameters as transmission rates,0.576084254,
the network model of ,an example (,0.576060029,
between patch contact,interest in the total number of people,0.575955243,
Susceptible individuals,the significant assumptions,0.5759333,
the number of infection events,an example (,0.575852908,
the method of ( Cox ),The probabilities,0.575750635,
the method of ( Cox ),which,0.575742019,
This code,The Newick format,0.575641091,
This code,all elements on the row,0.575580396,
This model,the system,0.575577506,
the effective contact rates,which,0.575516918,
time,one infection event,0.575474399,
This code,one,0.575469176,
there,The details,0.575392992,
There,The details,0.575392992,
the minimum value of the transmission rate Beta,a model,0.575196995,
the number of recovery events,an example (,0.575113801,
This code,the number of infection events,0.575047547,
the effective contact rates,time,0.575011787,
a Binomial distribution with k,the effect of,0.574976409,
between patch contact,the number of susceptible individuals,0.574934673,
These features,The following,0.574821523,
the flow from patch,a recovery event,0.574557381,
a recovery event,numerous extensions to the coalescent,0.574552202,
large numbers of,some assumptions,0.574547865,
the number of recovery events,it,0.574542372,
This code,the number of recovery events,0.574510104,
this process,an exposed infectious class,0.574503732,
the effective contact rates,an example (,0.574386151,
Cross - coupling between patches,One way,0.574294678,
The susceptible model,efficient methods for,0.574276401,
efficient methods for,a way,0.574065843,
each time step,efficient methods for,0.573850579,
the SIR model,the established ways,0.573821115,
an exposed infectious class,the coalescent,0.573658809,
the elements on ,they,0.57360061,
one of the simplest models,this code,0.573596213,
a Binomial distribution with k,One way,0.573418998,
a constant total population size ,a flow diagram,0.573380568,
the flow from patch,a stochastic model of genealogies,0.573370441,
several features : age,a stochastic process for these parameters,0.573298588,
between patch contact,numerous extensions to the coalescent,0.573267993,
Cross - coupling between patches,the state of our model,0.573178294,
a stochastic process for these parameters,a grammar,0.573105379,
forecasting of in,the coalescent,0.57307159,
the final sizeof,the states,0.572881957,
The susceptible ( SIS ) model,which,0.572718091,
a stochastic process for the transmission rate,some assumptions,0.572648895,
SIRS ( susceptible ) infection dynamics in a infinite population of households,it,0.572480629,
one infection event,the coalescent,0.572382154,
all elements of C,some assumptions,0.572294523,
two metapopulation SEIR models,the probability of all paths,0.572261257,
the form S,downward drift on the transmission rate,0.572238631,
that model times,compartmental models,0.572230395,
a stochastic process for these parameters,an example (,0.572166334,
many SEIR models,the rate of transmission between individuals in the population,0.572165012,
The details,the dynamics of the Ebola virus,0.572002184,
interest in the total number of people,efficient methods for,0.571975662,
this,the state,0.571882675,
all elements of C,the final sizeof,0.571877867,
this,a stochastic process for the transmission rate,0.571810528,
the SIR model,the states,0.571656983,
different rates,the states,0.57160458,
each time step,an example (,0.571542008,
the efficacy of interventions,another language  things,0.571515308,
the flow from patch,this,0.571482355,
a Binomial distribution with k,rate case fatality ratio ( proportion rate (,0.571479391,
which,The Newick format,0.571464605,
numerous extensions to the coalescent,a language,0.571450197,
migration between patches,downward drift on the transmission rate,0.571422609,
Sigma rate of breakdown,large numbers of,0.571352081,
j flow from patch,a stochastic process for these parameters,0.571327964,
interest in the total number of people,the coalescent,0.571313574,
This section,the rate of transmission between individuals in the population,0.571285275,
who,There,0.571277975,
who,there,0.571277975,
( ie inverse of mean incubation period,another language  things,0.571215027,
a stochastic process for the transmission rate,proportions of ,0.571190261,
an endemic equilibrium,the probability of all paths,0.5711241,
The susceptible ( SIS ) model,The implementation in this section,0.571089575,
Model description,deterministic  time analogues of  model passage times,0.570966934,
which,The susceptible model,0.570954397,
a constant total population size ,several features : age,0.570910547,
this process,downward drift on the transmission rate,0.570836627,
forecasting of in,a way,0.57079082,
an exposed infectious class,a stochastic model of genealogies,0.570730444,
one of the simplest models,compartmental models,0.570724862,
a constant total population size ,an clear [ wiki  Newick_format ) of this grammar,0.570598771,
the SIR model,interest in the total number of people,0.570320112,
The implementation in this section,all paths,0.570307369,
the network model of ,parametric models,0.570294787,
The susceptible ( SIS ) model,the effect of,0.570204401,
alternative forms for the process,a model,0.570122833,
each time step,forecasting of in,0.569880395,
the model of,these parameters,0.569681039,
Beta rate of rate,a stochastic process for these parameters,0.569668904,
This code,The model in a closed population,0.569666916,
who,the established ways,0.569548229,
a Binomial distribution with k,the process,0.569536631,
( ie inverse of mean incubation period,this process,0.569516944,
many SEIR models,the number of recovery events,0.569506703,
the number of infection events,all paths,0.569424003,
a constant total population size ,the states,0.569408897,
this,the probability of all paths,0.569377049,
a Binomial distribution with k,efficient methods for,0.569322278,
a constant total population size ,which,0.56918681,
the elements on ,an example (,0.569176701,
a model,the system,0.569109419,
outflow of each patch,one infection event,0.56908342,
the flow from patch,another language  things,0.569080925,
parameters as transmission rates,The models,0.568985818,
the SIR model,you,0.568876176,
the effective contact rates,several features : age,0.568852166,
between patch contact,a stochastic process for the transmission rate,0.568850558,
each time step,a flow diagram,0.568791921,
Beta rate of rate,that model times,0.568689024,
downward drift on the transmission rate,an exposed infectious class,0.568673753,
the effective contact rates,all elements of C,0.56855809,
it,The following,0.568413596,
one infection event,the states,0.568367331,
outflow of each patch,another language  things,0.568304879,
a stochastic process for these parameters,one infection event,0.568266705,
This section,numerous extensions to the coalescent,0.568221936,
the rate of transmission between individuals in the population,some assumptions,0.568211363,
This model,the process,0.568209374,
the method of ( Cox ),one,0.56818063,
we,The implementation in this section,0.568062398,
